"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",-0.00538353006385392,0.179757500531864,0.0323417413934113
"Cox","mildly-mis-specified",-0.017710658049961,0.183822133092482,0.0341042440232327
"Cox","quite-mis-specified",-0.134670407857477,0.176488400921057,0.049284274412171
"S-Lasso",NA,-0.0773845662005173,0.196092318348801,0.0444405684014497
"DINA",NA,0.0127983887559415,0.273009981279593,0.0746982486330318
