"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",-0.000918836868712448,0.0762977621158146,0.00582219276507274
"Cox","mildly-mis-specified",-0.00247146277465274,0.0761629647440915,0.00580690532685621
"Cox","quite-mis-specified",0.105162123601369,0.0814111637118799,0.017686849817272
"S-Lasso",NA,0.0182555724471691,0.0783974233869816,0.00647942191909149
"DINA","cox_coxph",0.00360502369230126,0.0828371678376041,0.00687499257117745
"DINA","cox_custom_cox",0.00358442544253354,0.0828364346346405,0.00687472300873214
