"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",0.00483776942948118,0.107590958044383,0.0115992182659609
"Cox","mildly-mis-specified",0.000210109674747352,0.108574998071112,0.0117885743522174
"Cox","quite-mis-specified",0.106371424915001,0.109416890411039,0.023286935945669
"S-Lasso",NA,0.0170112225749392,0.120398645156524,0.0147852154490207
"DINA","cox_coxph",0.0135242836144293,0.116964207443425,0.013863532070152
"DINA","cox_custom_cox",0.0135870075860364,0.116977692876519,0.0138683874058563
