"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",-0.0262943695094232,0.108497522918462,0.0124631063473404
"Cox","mildly-mis-specified",-0.0422055792348391,0.111345327665059,0.0141790929113875
"Cox","quite-mis-specified",-0.162570879612835,0.103675103130049,0.0371778179071171
"S-Lasso",NA,-0.0543489780002869,0.123371693564513,0.0181743861826518
"DINA","cox_coxph",-0.0167835981801604,0.114135459379412,0.0133085922556225
"DINA","cox_custom_cox",-0.0194312104021445,0.130082082521756,0.0172989201308893
