"Method","Specification","Avg_Time"
"Cox","correctly-specified",0.0060848069190979
"Cox","mildly-mis-specified",0.00416810393333435
"Cox","quite-mis-specified",0.00348438858985901
"S-Lasso",NA,2.4709232211113
"DINA",NA,NA
