"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",0.0202331459249911,0.17995739694243,0.0327940449083171
"Cox","mildly-mis-specified",0.0172254270040982,0.181335147821227,0.0331791511708197
"Cox","quite-mis-specified",0.121500935872168,0.178542332863221,0.0466398420420538
"S-Lasso",NA,0.0106313951870496,0.186640392673299,0.0349476627408666
"DINA",NA,0.0438650286234122,0.203210619034226,0.043218696424406
