"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",0.0202864247812051,0.17996182024565,0.0327977957765311
"Cox","mildly-mis-specified",0.0172726409860726,0.18133714887922,0.0331815056902781
"Cox","quite-mis-specified",0.121532880840733,0.178556564769429,0.0466526879477072
"S-Lasso",NA,0.0100137139871501,0.18796803392216,0.0354322562443787
"DINA","cox_coxph",0.0439438735208609,0.203296750257847,0.0432606326854189
"DINA","cox_custom_cox",0.0439387473595945,0.203299019901,0.0432611050122376
