"Method","Specification","Bias.bias","Bias.bias.1","SE.se","SE.se.1","MSE.mse","MSE.mse.1"
"S-Lasso",NA,-1,0.00369566108159029,0,0.265504485211991,1,0.0705062895785142
"DINA",NA,-1,0.00369566108159029,0,0.265504485211991,1,0.0705062895785142
