"Method","Specification","Bias","SE","MSE"
"Cox","correctly-specified",0.00484100037183174,0.10761307563869,0.0116040093330185
"Cox","mildly-mis-specified",0.0002142294211713,0.10859444557521,0.0117927995040321
"Cox","quite-mis-specified",0.106372807748639,0.109435650196513,0.0232913357622626
"S-Lasso",NA,0.0189624918780697,0.119116969231403,0.0145484284571009
"DINA",NA,0.00939927720144805,0.115934238652576,0.013529094103862
