"Method","Specification","Bias.bias","Bias.bias.1","SE.se","SE.se.1","MSE.mse","MSE.mse.1"
"S-Lasso",NA,-1,0.0202590577710757,0,0.213954059498702,1,0.0461867689977458
"DINA",NA,-1,0.0202590577710757,0,0.213954059498702,1,0.0461867689977458
